antecedents,consequents,confidence,lift
4804572,4804056,0.37837837837837834,8.163074466871935
1004858,1004856,0.3512064343163539,3.505893203161885
1004209,1004856,0.3472668810289389,3.466566893207662
1005118,1005115,0.3402061855670103,4.187468047193365
1005106,1005105,0.33678756476683935,10.682349991642988
1005104,1005115,0.3197969543147208,3.9362586119671823
1004766,1004767,0.315,3.8679034582132563
1004835,1004836,0.313953488372093,10.396659236052535
1004875,1004873,0.3119266055045871,12.363416542208945
4804055,4804056,0.3089005235602094,6.66417036693397
1004833,1004856,0.3048689138576779,3.043332207251673
1004250,1004249,0.28421052631578947,7.414124597207304
1004857,1004856,0.2836538461538462,2.8315543057099095
1004210,1004856,0.2828282828282828,2.8233131786431276
1005121,1005115,0.2781065088757396,3.4231068364989325
1005100,1004856,0.2761044176706827,2.75619267385826
1005116,1005115,0.2758620689655172,3.3954808825726754
1004249,1005115,0.2724489795918368,3.353470468591867
1005124,1005135,0.27199999999999996,17.169580246913576
1005129,1005105,0.26229508196721313,8.319570434853354
1004834,1004833,0.2578947368421053,4.938635915631776
1005099,1005100,0.25766871165644173,6.613755636041097
1004246,1004249,0.2544169611307421,6.636907766640226
1004768,1004767,0.24705882352941175,3.033649771147652
1003317,1005115,0.24444444444444444,3.00877333761301
4804660,4804295,0.2416666666666667,21.75425469483568
1004839,1004838,0.2406015037593985,13.72986036519871
1004870,1004767,0.23833167825223434,2.926488642900274
1005129,1005115,0.2377049180327869,2.9258190801676442
1002547,1002544,0.23648648648648646,5.050774458669195
1005105,1005115,0.23076923076923078,2.840450353690604
1002633,1002544,0.22863247863247863,4.8830320102249924
1004781,1004785,0.227027027027027,18.30897774746355
1004566,1004565,0.2265625,16.93587810672515
1005169,1004767,0.22627737226277372,2.778473113303463
1004258,1004249,0.22592592592592592,5.893669690098261
1004903,1004856,0.2254335260115607,2.2503741087409406
1005098,1005100,0.22535211267605632,5.784263815826687
1005212,1004833,0.21739130434782605,4.163002768278782
1003306,1002544,0.21700879765395895,4.634778539702139
1005099,1004856,0.21472392638036808,2.1434662936017608
1004750,1004767,0.21357285429141715,2.6224735926801532
1004836,1004767,0.21243523316062177,2.60850467615336
1002524,1002544,0.21217105263157898,4.531456107373699
1005204,1005217,0.2108433734939759,25.54602295437675
1004872,1004870,0.2107843137254902,5.351242284401347
1005159,1005160,0.20879120879120877,7.907773707773707
1004873,1004767,0.20775193798449612,2.5509982202563126
1005161,1005160,0.202416918429003,7.666353362425869
1004834,1004856,0.2,1.9964857477547833
